"","D1n1","D1n2","D3n1","D3n2","D7n1","D7n2","LZn1","LZn2","Pachn1","Pachn2"
"NR_015542",0,0.08510644,0.08485127,0.04017113,0.05455748,0.03045429,0.2148967,0,0,0.1248694
"NM_001024602",46.73109,44.89364,37.50426,48.2857,69.69718,75.28301,15.90236,16.16881,6.726695,5.931298
"NM_001024606",3.97968,6.08511,3.971039,4.579509,7.965392,7.704936,0.6446901,0.1821838,1.042164,0.4994777
"NM_001024604",40.03799,36.25534,26.37178,38.36343,41.92742,41.38738,47.06238,63.49104,37.13894,32.46605
"NM_028336",0.1205964,0.2127661,0.4412266,0.1205134,0.3546236,0.6090858,0.8595868,1.047557,0.7579375,0.437043
"NM_028335",7.175484,8.510644,6.262024,6.306867,5.646699,6.212675,2.363864,1.867384,3.88443,2.684693
"NM_028334",0.06029818,0.1276597,0.01697025,0.04017113,0.08183622,0,0,0.04554594,0,0
"NM_028333",2.411927,2.51064,2.783122,1.928214,1.609446,1.583623,0,0.09109189,0.09474219,0.1248694
"NM_028331",3.919382,3.191491,4.463177,4.700022,3.24617,3.928604,0.2148967,0.04554594,0,0.06243472
"NM_028339",35.93772,37.06385,44.4451,30.16852,27.11507,29.7843,16.33215,22.63633,29.84379,20.60346
"NM_175541",0,0,0,0,0,0,0,0,0,0
"NM_175540",0,0,0,0,0,0,0,0,0,0
"NM_175543",12.66262,13.61703,4.446207,12.81459,32.65265,30.42384,7.521385,10.1112,6.631953,5.681559
"NM_175542",7.416677,9.404261,6.822042,9.560729,12.73917,11.7249,5.587314,7.059621,11.74803,14.29755
"NM_175546",5.487135,5.319152,1.255799,5.302589,6.001323,5.999495,0.8595868,0.9564648,1.515875,2.185215
"NM_175549",27.19448,29.91491,20.26248,22.85737,7.856277,7.644027,0.4297934,0.4554594,0.6631953,0.4994777
"NM_175548",0.7235782,0.8936176,0.7466912,0.7632514,0.4364598,0.5177229,0.2148967,0,0,0
"NM_207583",0.9044728,1.19149,0.3903158,0.2410268,0.6001323,0.5177229,0.2148967,0.09109189,0.09474219,0
"NM_001001496",0.1205964,0.2553193,0.135762,0.1205134,0.1363937,0.1522715,0.6446901,0.1821838,3.505461,0.8116513
"NM_001001495",0,0.04255322,0.08485127,0,0.02727874,0,0,0,0,0
"NM_001001493",5.788626,5.191493,10.14821,5.222247,7.010636,6.121312,0.2148967,0.6831891,0.8526797,2.934432
"NM_001001492",2.65312,1.574469,2.121282,2.570952,2.182299,2.34498,182.8771,300.1022,212.2225,244.1197
"NM_001001491",130.0029,119.3618,204.0164,131.1587,94.65723,78.60253,4.297934,1.6852,5.779274,1.123825
"NM_001001490",0.1205964,0.2553193,0.05091076,0.04017113,0,0,3.223451,6.695254,3.979172,7.304862
"NM_175097",6.934291,5.063833,6.431726,5.824814,4.882894,5.207684,0.2148967,0.04554594,0.1894844,0.06243472
"NM_175096",14.04948,14.5532,13.61014,10.12312,4.228205,4.720415,0.4297934,0.3188216,2.17907,0.5619124
"NM_175095",8.502044,8.680856,12.67678,10.1633,11.75714,11.17672,3.868141,2.91494,6.537211,5.931298
"NM_175094",12.11993,13.57448,15.68051,13.4975,15.71255,17.78531,40.83037,68.41001,57.50851,53.88116
"NM_175093",1.447156,1.617022,3.241319,2.008556,4.200926,5.542681,0,0.04554594,0,0
"NM_029545",7.657869,7.574473,9.503342,8.315424,9.192935,10.47628,10.31504,1.594108,15.82195,2.622258
"NM_175091",61.98653,63.91493,15.20535,55.7977,53.11171,50.91957,146.5596,208.1905,156.8931,144.5364
"NM_175090",43.95738,42.17024,45.8706,52.30281,65.25075,67.48671,19.7705,11.70531,40.92863,23.60032
"NM_001102662",0,0,0,0,0,0,0,0,0,0
"NM_001102660",0,0,0,0,0,0,0,0,0,0
"NM_175099",0,0,0,0,0,0,0,0,0,0
"NM_001102665",0,0,0,0,0,0,0,0.3188216,0,0.06243472
"NR_040381",0,0,0,0,0,0,0,0.1366378,0,0.06243472
"NR_024325",0.1808946,0.2553193,0.06788102,0.08034226,0.2455087,0.2436343,0.2148967,0.04554594,0.09474219,0.1873041
"NR_040383",0.06029818,0,0.08485127,0.1205134,0,0.09136287,0.4297934,0.5465513,0.1894844,0.6243472
"NR_040382",0,0,0.01697025,0,0.05455748,0,1.28938,2.732757,1.610617,1.935476
"NR_040385",0.06029818,0.04255322,0.01697025,0.1606845,0.5728535,0.4872687,0,0,0.09474219,0
"NR_040384",0,0,0,0,0,0,0,0,0,0
"NR_040387",0,0,0.01697025,0,0,0,0,0,0,0
"NR_024324",1.507455,1.234043,0.8994235,1.245305,1.473052,1.431352,5.372418,10.33893,7.958344,8.86573
"NR_040389",0.4823855,1.234043,0.7297209,1.124792,0.8729197,1.248626,1.28938,2.231751,1.326391,1.685737
"NR_040388",0,0.04255322,0.01697025,0,0.08183622,0,0,0,0,0
"NR_024327",0,0,0,0,0,0,0,0,0,0
"NM_001039586",0,0,0,0,0,0,0,0,0,0
"NM_001039581",0,0,0,0,0,0,0,0,0,0
"NR_035450",0,0.04255322,0,0,0,0.03045429,0,0,0,0
"NM_001159595",0.1808946,0,0.06788102,0,0.02727874,0.1522715,0.4297934,0,0.1894844,0
"NM_029880",0,0,0,0,0,0,0,0,0,0
"NM_029881",4.522364,3.787236,4.157712,5.34276,2.209578,2.070892,10.52994,11.84195,3.03175,3.30904
"NM_029886",2.472226,2.936172,3.954069,2.972664,3.546236,3.806786,0.8595868,0.1366378,0.3789688,0.2497389
"NM_001159591",0,0,0,0,0,0,0,1.411924,0,0.3121736
"NM_029884",19.8381,19.87235,20.55098,21.21036,17.29472,19.06439,0.8595868,0.774281,1.231648,1.373564
"NM_029885",0.1205964,0.1276597,0.03394051,0.2410268,0.4364598,0.06090858,0,0.04554594,0,0.06243472
"NM_029888",22.67212,25.95746,18.87092,29.12407,44.32795,40.4433,14.18318,8.790367,14.5903,10.92608
"NM_001159598",0,0,0,0,0,0,0,0,0,0
"NM_001159599",12.84351,16.21278,17.66603,13.37699,19.94076,16.71941,2.793657,1.958476,6.537211,4.307995
"NM_001104547",0,0,0,0,0,0,0,0,0,0
"NM_001104541",0,0,0,0,0,0,0,0,0,0
"NM_001104540",0,0,0,0,0,0,0,0,0,0
"NM_001104543",0,0,0,0,0,0,0,0,0,0
"NM_001104542",0,0,0.03394051,0,0,0,0,0,0,0
"NM_001104549",0,0,0,0,0,0,0,0,0,0
"NM_001110234",0,0,0,0,0,0,0,0,0,0
"NM_001110232",0,0,0,0,0,0,0,0,0,0
"NM_001110233",0,0,0,0,0,0,0,0,0,0
"NM_001110230",0,0,0,0,0,0,0,0,0,0
"NM_001110231",0.2411927,0,0.05091076,0.04017113,0.2455087,0.1218172,0.2148967,0,0,0
"NM_001110239",0.7235782,0.4680854,0.5091076,0.321369,0.4637386,0.21318,0.6446901,2.004022,0.2842266,1.997911
"NR_035452",0,0,0,0,0,0,0,0,0,0
"NR_035455",0,0,0,0,0,0.03045429,0,0,0,0
